artifact_id,variant,logical_name,sha256,size_bytes
s1__activity_inputs_saturated_report,S1,activity_inputs_saturated_report,0b99520f9036ca473d0188806b7197cd06491df034cffe83552ac3a6fbd75b0f,814
s1__activity_name_map_bursty_report,S1,activity_name_map_bursty_report,b2f6899c4558ffe30a086ca0f1b85e11b7ae963b0e3d0a21e88a2f68006704b1,1045
s1__activity_name_map_idle_report,S1,activity_name_map_idle_report,4c192565a916b162c0f54e29d6fe945042ba22e901c665a490cce540474d9fae,1045
s1__activity_name_map_saturated_report,S1,activity_name_map_saturated_report,1d32cc3ec91f79dbac72b262e295b52d4195bfdd627ab896b5b9aa03c2320f3e,1045
s1__activity_saturated_report,S1,activity_saturated_report,160a6fbddd2f4ed823487d39293a968f6da3b09e211ea9dfb8a384290a7f6568,829
s1__activity_sequential_bursty_report,S1,activity_sequential_bursty_report,2d15f6de57d38fa3dc06f174b179c517ca2ca66ad1f4255969f1711f52b6c035,816
s1__activity_sequential_idle_report,S1,activity_sequential_idle_report,66b230471abf5585a7137c57e19577dbe9aa38da3cd3c2a9e809ae5ae251f11e,816
s1__activity_sequential_saturated_report,S1,activity_sequential_saturated_report,327ba4b9e081fa430d6b127bcee1d69b1f3446ae11e2de7e87cc3a39decf24d1,816
s1__area_report,S1,area_report,a90026d3087cec10cbf69bb401f6a6e7d4b3ba803cb128df26210e48ea3d27cf,209441
s1__clock_gating_report,S1,clock_gating_report,a9c7d850cb136d2dc07951546b0512028f3821d5ec1cd8235784824fa8efe62b,900
s1__dc_summary,S1,dc_summary,153f4364d030ba07cabee5d20d6c11f14f73f5b39094e47c6d9ef929bc90ae9e,489
s1__experiment_interface,S1,experiment_interface,b164e99444e6ff5672a624818ceaab54a1fa1c58216447b1d0011f986b9e1739,715
s1__hold_report,S1,hold_report,7818eb026f6c5a535a76c2134bd17f3facf83aac36722955484ca506f245a5a6,43506
s1__icg_category_summary,S1,icg_category_summary,7c4c81a454f9092c466d9f9883566f07eeb11eedde58ac8f8b6e2f8490fe5d6e,185
s1__icg_collection,S1,icg_collection,85b7c109e3484d2298e837f1c1e1afad58e570b12a740b92f894de49145c41ba,7429016
s1__icg_detail,S1,icg_detail,2038cba0e7ba1279407dada9f29376029221aac8498eba8c257694b189b5a84a,87781
s1__icg_summary,S1,icg_summary,68b0bb2d6623beb92d99febc8ba47af130463849ed708e956161b0e3a6c6e74c,213
s1__icg_test_hookup,S1,icg_test_hookup,307a4a41e887ecd4bfeb16523877ae3e47f51574d13ec39151efd01e09d339e7,427
s1__icg_test_hookup_detail,S1,icg_test_hookup_detail,2209433f38428824bf84e483b8b82d83253d70eea9b9c250fc09ecd3c4b65d7e,142394
s1__mapped_ddc,S1,mapped_ddc,202bda5e25c2f99e2f690d968a8e604dd0bec1f3bbe75f8772c262f762575993,16080896
s1__mapped_gls_bursty_marker,S1,mapped_gls_bursty_marker,a4e63e62d76c47fa356c3e552617a0beb3c13fb6697335205447571b4bbb03d5,32
s1__mapped_gls_bursty_summary,S1,mapped_gls_bursty_summary,7dfc722f3f699454894d198e37f9a0cf6fb552c3bcc6c9e860babaf7ce3eda0e,334
s1__mapped_gls_bursty_trace,S1,mapped_gls_bursty_trace,385be3b44377d8ba42dff33478781e96561fd3a2573776d2d5544751e76401d6,134889
s1__mapped_gls_bursty_transcript,S1,mapped_gls_bursty_transcript,29fe40bdc5b042f602a17b1ae4135e3def913cb58bd664911f1aedeb515f156a,51491620
s1__mapped_gls_bursty_vcd,S1,mapped_gls_bursty_vcd,1b896a862aadcc8812400364044216d3c61bc5fa815d0f1a333fd879cfe28f1a,91554927
s1__mapped_gls_cell_model,S1,mapped_gls_cell_model,02292a25de5daa674cd0f33b3e2dfcb7ff333ef7860232ccf87b9cc658347c73,17082
s1__mapped_gls_idle_marker,S1,mapped_gls_idle_marker,750ce6cca98885c24ef0567c5695c85103c5e664dc9b24c1ac9ff1bba455a18e,30
s1__mapped_gls_idle_summary,S1,mapped_gls_idle_summary,de3eeb513a6a2574cbe0b2abbdc4512d42eff6e57b786981de622a99ce563529,317
s1__mapped_gls_idle_trace,S1,mapped_gls_idle_trace,e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0,134185
s1__mapped_gls_idle_transcript,S1,mapped_gls_idle_transcript,ba8c9d8d57183ba9585400298ef40db926857b333999c4869d620923380cafee,51491585
s1__mapped_gls_idle_vcd,S1,mapped_gls_idle_vcd,d93ce7ea257d93bcbbd2dccc89bd0b856ccea24d05a0893e81f8323977f722c8,55181092
s1__mapped_gls_saturated_marker,S1,mapped_gls_saturated_marker,32d2778bee3e51bdfdcb3fdb658646bd0d749d4cf277845d5113a6266d0593ef,35
s1__mapped_gls_saturated_summary,S1,mapped_gls_saturated_summary,3534a7c89f012c724f520ab8297c6a8b76c5da9509b6db6ca4037b8e75dbc4a8,342
s1__mapped_gls_saturated_trace,S1,mapped_gls_saturated_trace,e838dfc4cbeb07f6ed22d42e4103d8b1dac512e63d76c3ac898c18244732a8ac,135055
s1__mapped_gls_saturated_transcript,S1,mapped_gls_saturated_transcript,333d2685ddce10de0ea69c839032e0b61ed048c3f10332ffedb18b239ab19dfe,51491686
s1__mapped_gls_saturated_vcd,S1,mapped_gls_saturated_vcd,d7e7001c4ece5b52a9c1b34d129a84eff7f05fe44847a9b00e5dc81b7cb167ef,97631508
s1__mapped_gls_summary,S1,mapped_gls_summary,c43aefe3f660681b004ddd6aabeed72dccb6d82f6a0f0934cc3a57a74c2ba91c,12009
s1__mapped_gls_test_enable_functional_smoke_marker,S1,mapped_gls_test_enable_functional_smoke_marker,750ce6cca98885c24ef0567c5695c85103c5e664dc9b24c1ac9ff1bba455a18e,30
s1__mapped_gls_test_enable_functional_smoke_summary,S1,mapped_gls_test_enable_functional_smoke_summary,de3eeb513a6a2574cbe0b2abbdc4512d42eff6e57b786981de622a99ce563529,317
s1__mapped_gls_test_enable_functional_smoke_trace,S1,mapped_gls_test_enable_functional_smoke_trace,e5739c0c0c4b8d75f7624940f1c6fb25c7c80dcd1d0d794d76c97b847ec670d0,134185
s1__mapped_gls_test_enable_functional_smoke_transcript,S1,mapped_gls_test_enable_functional_smoke_transcript,d2e00bc7d9c3797284b3e7a2c0438a92355006814e573a5b4902c5f44e46a95f,51491825
s1__mapped_gls_test_enable_functional_smoke_vcd,S1,mapped_gls_test_enable_functional_smoke_vcd,f87d887fe3261f31ef5818dbb08bfe56a14e21e9b5cf299f52a3fee98720222f,89464612
s1__mapped_gls_transform_receipt,S1,mapped_gls_transform_receipt,dc2ad367f421a1932bff1b7cbe71cc65ad4cf97f34c491e0aa2ed2efe7c726d0,2452
s1__mapped_netlist,S1,mapped_netlist,a4b5fb71997913b55f5d0350b1ef99022941309c72e2528e0aedc6e876c8350a,28644222
s1__mapped_sdc,S1,mapped_sdc,636d77c1b12a5fec7a19ed1f938a7d0daf7c18d1bf55211fd119bcb803ac5301,375448
s1__power_bursty_report,S1,power_bursty_report,418017cfca8c8c19a64df6f58a594e301f0cb6c98d8dd9098743035e02437f8d,2845
s1__power_groups_bursty_report,S1,power_groups_bursty_report,fcee3f39dbcadd7112708d8597d58300d541119c4be2a213ead97d0fc291644c,2132
s1__power_groups_idle_report,S1,power_groups_idle_report,0ae772b47a868b3e199061b3cba4aa1b462b6a9dedfc929a86e2d83294eb3b8c,2133
s1__power_groups_saturated_report,S1,power_groups_saturated_report,d78ce4c074d85f03d2b86e2045acc2f590c20efa06bc6492ed9fbaf7fa90c953,2132
s1__power_idle_report,S1,power_idle_report,232aa0258a6f66efe7be1de98b667fbd35e5b3da0a4eac4dbabc2e74e03e5ca0,2845
s1__power_saturated_report,S1,power_saturated_report,978e1a6b3a5edab1a1df7e7ab894e1c8570d1ff8b33df288ac477b21b204e929,2845
s1__setup_report,S1,setup_report,16de57a4dc595aeab4f4f9176a4b63ab81dd555ccb7a8fa4961993c6d0d18ece,75434
s1__test_port_case_bursty_report,S1,test_port_case_bursty_report,e51244cb10ff808ce765aff0269d3965830e3ed7e0e0ccba6fec971023921890,605
s1__test_port_case_compile_report,S1,test_port_case_compile_report,89fd0db9ce2161f7ae33ead9af96e4bd9f2ee59189e94416882aac3668adbac8,395
s1__test_port_case_idle_report,S1,test_port_case_idle_report,a8e328276569d70afda91719833fabdcabf6fa228c475d19078eaeebb753e242,605
s1__test_port_case_saturated_report,S1,test_port_case_saturated_report,8b60199c5f172d7ff62603d6838de8161339b14475f310e181b38484740e614f,605
s0__annotation_audit_json,S0,annotation_audit_json,eada0562b234cea3a71cf54e607bff4ad98b3e46ba3d1476d0d32eb135960221,4552
s0__annotation_idle_summary,S0,annotation_idle_summary,a32f0649c02852cd924e6a1dcd3ceb310b85764ed3b1a1b81f7a87a352f71e3f,307
s0__annotation_idle_clock_saif,S0,annotation_idle_clock_saif,6e40226cd78d2ce9a078d37cf88047529541f0c40d3f3d09a53efc9598d849fe,1034
s0__annotation_idle_icg_enable_saif,S0,annotation_idle_icg_enable_saif,a4e4a83cf99a3824a31ce1e88d500db85344f824816eec26b85e21e66ef1a3de,31
s0__annotation_idle_marker,S0,annotation_idle_marker,73cff31de2ce0f9c1d41166d53db9825a716963fca78c1c08f5256c32f4282a9,43
s0__annotation_bursty_summary,S0,annotation_bursty_summary,05a20e53e5703c6f4731d72f6be201abdbc9db5b8279f3c89c11858b6fd8f0e8,309
s0__annotation_bursty_clock_saif,S0,annotation_bursty_clock_saif,481b324331b50cc8fe1d3e6d915e3e5799c6216c406db8737d2d542adeb1ece3,1034
s0__annotation_bursty_icg_enable_saif,S0,annotation_bursty_icg_enable_saif,a4e4a83cf99a3824a31ce1e88d500db85344f824816eec26b85e21e66ef1a3de,31
s0__annotation_bursty_marker,S0,annotation_bursty_marker,766ea1865a4b69304cb896db07faa7c2b13a8afe12089f9e36a9812324f8bf19,45
s0__annotation_saturated_summary,S0,annotation_saturated_summary,f4d28debb89af586b0a76abfe2d2e35446a24e198d7768c3f26bb0514006d98a,312
s0__annotation_saturated_clock_saif,S0,annotation_saturated_clock_saif,a48819a11662dd4e8161c565bb69191d61ea09206abc2c9fc4b41f6239823db4,1034
s0__annotation_saturated_icg_enable_saif,S0,annotation_saturated_icg_enable_saif,a4e4a83cf99a3824a31ce1e88d500db85344f824816eec26b85e21e66ef1a3de,31
s0__annotation_saturated_marker,S0,annotation_saturated_marker,95fc1b0da0d1826ba5ece40189f06fd942f03089b2ce7a64f324f0bfa7da5aa6,48
s1__annotation_audit_json,S1,annotation_audit_json,907eb9fa5d2b62d739338adac0ce5e3a64c3a77dacb8602cdbba158435ce057f,5011
s1__annotation_idle_summary,S1,annotation_idle_summary,d176c7b33e074537f8086af32f2171d741e9d52e94bb1e1116afea930ee4bcd0,329
s1__annotation_idle_clock_saif,S1,annotation_idle_clock_saif,541bc739a31bc06795ae10b13eaa41c459ebb00787a9da25b8421d33e7b9bae0,1034
s1__annotation_idle_icg_enable_saif,S1,annotation_idle_icg_enable_saif,3094ef4734cecb341f4b821697bdcce8a13127bc430a206f1b0115f98c4b39ab,813
s1__annotation_idle_marker,S1,annotation_idle_marker,241d327b9da1319d86a669ff87a28f8b6f33f43961b94cd77ab21b2d449cc836,43
s1__annotation_bursty_summary,S1,annotation_bursty_summary,70dc0cc54c4591799996b9d8ab16c28213e1a9a1f49389b6ae9630b823e12719,331
s1__annotation_bursty_clock_saif,S1,annotation_bursty_clock_saif,1498d3f19d11a5836c4d029e4b3c1b21de649cc437e17f5809f6e490d7cf2566,1034
s1__annotation_bursty_icg_enable_saif,S1,annotation_bursty_icg_enable_saif,362de89a6eb3a547a7c129ada9c2ccfad04a9dc5350958206e820d4f0300da19,813
s1__annotation_bursty_marker,S1,annotation_bursty_marker,db70062a7532b72842cd1e459c1696b14ea3f31064abe69c00a07dac6f3e2824,45
s1__annotation_saturated_summary,S1,annotation_saturated_summary,6274d861e94a41ab3cf29ef406a9b4634bfbe69c8aedd092705b13f97635ca8b,334
s1__annotation_saturated_clock_saif,S1,annotation_saturated_clock_saif,3005345ee3ee3c45b8ee14336b5d3ac483faaefbe5d04e239ac991b1b655823d,1034
s1__annotation_saturated_icg_enable_saif,S1,annotation_saturated_icg_enable_saif,ff57b8a911d6e45399bce81ab6168639aafe1728d6eb46af47f64b67a708ec7b,813
s1__annotation_saturated_marker,S1,annotation_saturated_marker,a0750f0399a0a573b1526dcb70046df7f3ae4a79cbff515cec45ae6ce459b0a6,48
