comparison_id,comparison_group,scope,workload_id,baseline_point,candidate_point,metric,baseline,candidate,delta,delta_percent,formula
c2b4_clock_gating_dc__bursty__dynamic_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,dynamic_mw,393.790000000000,390.800000000000,-2.990000000000,-0.759287945352,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__clock_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,clock_mw,0.000000000000,0.102308400000,0.102308400000,NA,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,sequential_mw,386.571904600000,383.618800800000,-2.953103800000,-0.763920958781,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__combinational_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,combinational_mw,6.927600000000,6.860100000000,-0.067500000000,-0.974363415902,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__net_switching_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,net_switching_mw,5.790000000000,5.800000000000,0.010000000000,0.172711571675,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__leakage_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,leakage_mw,15.700000000000,15.700000000000,0.000000000000,0.000000000000,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__total_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,total_mw,409.000000000000,406.000000000000,-3.000000000000,-0.733496332518,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__throughput_bytes_per_s,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,throughput_bytes_per_s,5500000000.000000000000,5500000000.000000000000,0.000000000000,0.000000000000,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__clock_plus_sequential_mw,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,clock_plus_sequential_mw,386.571904600000,383.721109200000,-2.850795400000,-0.737455403788,delta=candidate-baseline;delta_percent=100*delta/baseline
c2b4_clock_gating_dc__bursty__incremental_energy_per_byte_nj,c2b4_clock_gating_dc,c2b4_rx512_mapped_dc,bursty,c2b4_clock_gating_bursty_baseline,c2b4_clock_gating_bursty_candidate,incremental_energy_per_byte_nj,0.000727272727,0.000545454545,-0.000181818182,-25.000000000000,incremental=(P_workload-P_idle)*1000000/throughput_Bps
