verification_id,point_id,platform,simulator,status,pass_marker_count,point_marker_count,semantic_trace_sha256,artifact_id
windows_rx_size_128,rx_size_128,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,86d3ee5f0261c07b9b7e901e6642e4ec2032c1b323a3664a49772509e2bcc902,windows_rx_size_128
windows_loopback_size_128,loopback_size_128,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,98b01f550ab4c1de3b849dbd9febb4e809fc3e25a053534bd5de8331d4b85c4b,windows_loopback_size_128
windows_rx_size_256,rx_size_256,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,8c4a82cfc2f1e6279c32dbb95107c40ee12031fbe720dc67e1d71e4b614ec3c1,windows_rx_size_256
windows_loopback_size_256,loopback_size_256,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1fc06b26b471d99fc41d0d6ec1b1bd1152cded2f744503afe6cbd3259907b271,windows_loopback_size_256
windows_rx_size_1024,rx_size_1024,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,97578808ca0c8760a3999178068aa7a7e50fedb3536ff10aeafb0ee98e96b81e,windows_rx_size_1024
windows_loopback_size_1024,loopback_size_1024,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,ea41de57dbd3281816090d39f51ee4b822f6bee0c747a4952ccba92759d30b80,windows_loopback_size_1024
windows_rx_size_4096,rx_size_4096,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,d5cc056c510a5781faafed0a3ec32d625ea3ccf4b5e42e62d198e47d715c0146,windows_rx_size_4096
windows_loopback_size_4096,loopback_size_4096,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,83b871c9cc2d660af1897564f84589e305e05e596a47db12e684c22270707f80,windows_loopback_size_4096
windows_mixed16,mixed16,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,8795e1e9099cb841ccd9f8612240349a6b71ecb09bc6926080040b515983bf02,windows_mixed16
windows_hp0_l8_s100,hp0_l8_s100,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l8_s100
windows_hp0_l8_s75,hp0_l8_s75,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l8_s75
windows_hp0_l8_s50,hp0_l8_s50,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l8_s50
windows_hp0_l16_s100,hp0_l16_s100,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l16_s100
windows_hp0_l16_s75,hp0_l16_s75,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l16_s75
windows_hp0_l16_s50,hp0_l16_s50,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l16_s50
windows_hp0_l32_s100,hp0_l32_s100,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l32_s100
windows_hp0_l32_s75,hp0_l32_s75,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l32_s75
windows_hp0_l32_s50,hp0_l32_s50,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,windows_hp0_l32_s50
linux_rx_peak_phase1,rx_peak_phase1,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,linux_rx_peak_phase1
linux_loopback_peak_phase1,loopback_peak_phase1,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,linux_loopback_peak_phase1
linux_rx_peak_phase3,rx_peak_phase3,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,linux_rx_peak_phase3
linux_loopback_peak_phase3,loopback_peak_phase3,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,linux_loopback_peak_phase3
linux_rx_peak_phase7,rx_peak_phase7,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,linux_rx_peak_phase7
linux_loopback_peak_phase7,loopback_peak_phase7,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,linux_loopback_peak_phase7
linux_rx_peak_ideal_split,rx_peak_ideal_split,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,96ba71bd2aad11c287fdd5dab1b937877e4a736bcca4eaa46e4d6f7466ed53f5,linux_rx_peak_ideal_split
linux_loopback_peak_ideal_split,loopback_peak_ideal_split,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,linux_loopback_peak_ideal_split
linux_rx_size_64,rx_size_64,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,220211ca4e7c7424c128fe43be25a6d7bf1fcabb8c9b2256752a5af4eaee40f3,linux_rx_size_64
linux_loopback_size_64,loopback_size_64,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,f48252824cf07790124fc7f84810be2a314a204b03756197dd8f746f7427cf78,linux_loopback_size_64
linux_rx_size_128,rx_size_128,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,86d3ee5f0261c07b9b7e901e6642e4ec2032c1b323a3664a49772509e2bcc902,linux_rx_size_128
linux_loopback_size_128,loopback_size_128,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,98b01f550ab4c1de3b849dbd9febb4e809fc3e25a053534bd5de8331d4b85c4b,linux_loopback_size_128
linux_rx_size_256,rx_size_256,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,8c4a82cfc2f1e6279c32dbb95107c40ee12031fbe720dc67e1d71e4b614ec3c1,linux_rx_size_256
linux_loopback_size_256,loopback_size_256,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1fc06b26b471d99fc41d0d6ec1b1bd1152cded2f744503afe6cbd3259907b271,linux_loopback_size_256
linux_rx_size_1024,rx_size_1024,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,97578808ca0c8760a3999178068aa7a7e50fedb3536ff10aeafb0ee98e96b81e,linux_rx_size_1024
linux_loopback_size_1024,loopback_size_1024,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,ea41de57dbd3281816090d39f51ee4b822f6bee0c747a4952ccba92759d30b80,linux_loopback_size_1024
linux_rx_size_4096,rx_size_4096,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,d5cc056c510a5781faafed0a3ec32d625ea3ccf4b5e42e62d198e47d715c0146,linux_rx_size_4096
linux_loopback_size_4096,loopback_size_4096,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,83b871c9cc2d660af1897564f84589e305e05e596a47db12e684c22270707f80,linux_loopback_size_4096
linux_mixed16,mixed16,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,8795e1e9099cb841ccd9f8612240349a6b71ecb09bc6926080040b515983bf02,linux_mixed16
linux_hp0_l8_s100,hp0_l8_s100,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l8_s100
linux_hp0_l8_s75,hp0_l8_s75,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l8_s75
linux_hp0_l8_s50,hp0_l8_s50,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l8_s50
linux_hp0_l16_s100,hp0_l16_s100,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l16_s100
linux_hp0_l16_s75,hp0_l16_s75,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l16_s75
linux_hp0_l16_s50,hp0_l16_s50,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l16_s50
linux_hp0_l32_s100,hp0_l32_s100,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l32_s100
linux_hp0_l32_s75,hp0_l32_s75,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l32_s75
linux_hp0_l32_s50,hp0_l32_s50,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,cd69f225e183ef95c8e9ca51f781c1a8915a41099ea358823050cc18f6b53a2c,linux_hp0_l32_s50
windows_loopback_ladder_1,loopback_ladder_1,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,06a85c9e351b2479305b6a0e0b068761e4512e4d234723f957b346515fdec5c1,windows_loopback_ladder_1
windows_loopback_ladder_2,loopback_ladder_2,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,5d302beccbe134736774dcbc9668e9856bb083fcf7043074a09683205435759c,windows_loopback_ladder_2
windows_loopback_ladder_5,loopback_ladder_5,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,a2240ff560259449d4ea6c41587b730e0d482840bce0a88aed7681d760024c15,windows_loopback_ladder_5
windows_loopback_ladder_32,loopback_ladder_32,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,3ceb2e12b7abcd0209c80cb709e77a99cb99821de383564b6a7fd8bd3bbd99bf,windows_loopback_ladder_32
windows_loopback_ladder_1024,loopback_ladder_1024,windows,Model Technology ModelSim SE-64 vsim 2020.4 Simulator 2020.10 Oct 13 2020,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,windows_loopback_ladder_1024
linux_loopback_ladder_1,loopback_ladder_1,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,06a85c9e351b2479305b6a0e0b068761e4512e4d234723f957b346515fdec5c1,linux_loopback_ladder_1
linux_loopback_ladder_2,loopback_ladder_2,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,5d302beccbe134736774dcbc9668e9856bb083fcf7043074a09683205435759c,linux_loopback_ladder_2
linux_loopback_ladder_5,loopback_ladder_5,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,a2240ff560259449d4ea6c41587b730e0d482840bce0a88aed7681d760024c15,linux_loopback_ladder_5
linux_loopback_ladder_32,loopback_ladder_32,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,3ceb2e12b7abcd0209c80cb709e77a99cb99821de383564b6a7fd8bd3bbd99bf,linux_loopback_ladder_32
linux_loopback_ladder_1024,loopback_ladder_1024,linux,Questa Sim-64 vsim 10.7c Simulator 2018.08 Aug 17 2018,PASS,1,1,1b94590295c154a698a73a4b8bd93aa6022d63ead0317d280f785c1902b92d9a,linux_loopback_ladder_1024
